uid,late_default,cli_anc,cli_ageband,cli_payment,oc_inc0010,oc_inc50pl,oc_children3pl,oc_children0004,oc_children0510,oc_retired,oc_selfemp,oc_student,oc_unemp,oc_socrent,oc_privrent,oc_overdraft,oc_savs10pl,oc_cards2pl
1,1,3300,2,P,0.030354559,0.475623012,0.021373853,0.165253639,0.132861733,3.06E-05,0.150273442,0.04230994,0.025378376,0.012832291,0.793293953,0.172783256,0.179814577,0.306498766
2,0,3010,4,D,0.313327074,0.060590021,0.027986527,0.024381235,0.066548228,0.001477519,0.118802667,0.007655323,0.075781703,0.750369549,0.069108963,0.114262164,0.036341928,0.075722635
3,0,2780,6,D,0.063608408,0.161459394,0.00191987,0.003073135,0.005036123,0.817903519,0.021433801,0.002262296,0.000317461,0.026639909,0.021453381,0.056319892,0.304368734,0.195838094
4,0,4400,3,D,0.013214201,0.46980679,0.195210218,0.169213653,0.413696528,0.00013205,0.101393044,0.023778319,0.029276043,0.02280575,0.120235324,0.184630871,0.147862911,0.286991835
5,0,4540,4,D,0.007277038,0.527970374,0.180974841,0.218565702,0.41487217,0.001452665,0.119810164,0.002273964,0.031067357,0.001270994,0.082093298,0.181568384,0.20344764,0.244626045
6,0,5100,5,C,0.328020573,0.053011306,0.004429936,0.006295182,0.012161024,0.019084081,0.106259823,0.002465513,0.032886565,0.831134319,0.046888053,0.102988005,0.067893744,0.06837374
7,0,1950,5,C,0.015590131,0.557240129,0.024151251,0.011641458,0.028853759,0.128990769,0.122035921,0.010155261,0.032174319,0.001248478,0.033642918,0.139873862,0.300345063,0.319839001
8,1,1850,4,C,0.01323995,0.554054201,0.067718625,0.030869424,0.116918564,0.000909331,0.142999053,0.004296005,0.011342041,0.001241839,0.087073982,0.186705232,0.177461267,0.302806854
9,0,4830,7,C,0.118313074,0.116144091,0.000224592,0.000561887,0.000964122,0.940170765,0.01728873,0.007930063,0.000281902,0.020731375,0.01480671,0.021510661,0.390939832,0.142748952
10,0,1710,6,D,0.027125299,0.317693949,0.001681857,0.004255667,0.006907363,0.781742573,0.053678602,0.003376637,0.000422299,0.017275691,0.026473507,0.078587234,0.435498118,0.341028452
11,0,5320,6,D,0.162968755,0.051262129,0.003066612,0.004587818,0.007935122,0.797854424,0.026753202,0.001510633,0.000324676,0.225509167,0.050691873,0.056359053,0.181451917,0.08299464
12,0,4560,4,P,0.169882536,0.058556426,0.02302213,0.020769805,0.048387766,0.000225946,0.079116046,0.00167849,0.022268131,0.041114867,0.633455753,0.169100523,0.030235462,0.078727722
13,0,4620,4,C,0.00440874,0.616037011,0.215666294,0.03136313,0.186768413,0.000936195,0.099537671,0.003553197,0.009523675,0.001244714,0.015989706,0.19618094,0.160568714,0.311821461
14,0,1810,3,D,0.027906209,0.332071751,0.108617365,0.225619793,0.352708817,6.96E-05,0.111441493,0.011320159,0.019624353,0.001252577,0.460746765,0.187653661,0.066875711,0.203211904
15,0,3070,4,D,0.157752395,0.184750095,0.053318113,0.0306523,0.094799697,0.000306699,0.132034183,0.002296815,0.041530103,0.85049963,0.06604749,0.140490294,0.058936089,0.097808421
16,0,4890,7,D,0.216388226,0.024750358,0.000473819,0.001114996,0.001812618,0.892562389,0.010559551,0.003103793,0.000230747,0.062424719,0.182833552,0.017746702,0.231151342,0.049307197
17,0,2300,3,P,0.074923873,0.145757306,0.018046916,0.142783165,0.18209374,2.03E-05,0.10630095,0.016873896,0.017229497,0.090928435,0.773255825,0.195419312,0.07705541,0.19660759
18,0,2910,5,P,0.0701226,0.243093342,0.009755693,0.008755609,0.015920982,0.061422527,0.115029991,0.00754375,0.079357088,0.139026642,0.097232938,0.114403069,0.216179073,0.23893714
19,0,1750,2,D,0.054100841,0.248472512,0.134180665,0.282248497,0.337444782,6.38E-05,0.128539681,0.036683023,0.03951022,0.577605248,0.161899805,0.164060831,0.079066917,0.150237083
20,1,3040,3,P,0.042379946,0.336776257,0.107745528,0.235375285,0.311517477,3.73E-05,0.136296511,0.014193073,0.032166064,0.009994216,0.820536614,0.167711496,0.077967137,0.183690548
21,1,3240,5,P,0.065985024,0.206266925,0.010328658,0.010026932,0.018139109,0.133742452,0.108524382,0.003673362,0.034824222,0.035915136,0.051740766,0.104528725,0.152044773,0.178487182
